cancer_id,year,cancer_type,new_cases,crude_rate,asr_2001,asr_2025,deaths,mortality_crude,mortality_asr2001,mortality_asr2025,data_source
1,1982,Melanoma of the skin,3561,23.5,26.9,29.8,,,,,AIHW CDiA Book 7 (2025)
2,1983,Melanoma of the skin,3819,24.8,28.2,31.4,,,,,AIHW CDiA Book 7 (2025)
3,1984,Melanoma of the skin,4077,26.2,29.8,33.4,,,,,AIHW CDiA Book 7 (2025)
4,1985,Melanoma of the skin,4536,28.7,32.3,36.1,,,,,AIHW CDiA Book 7 (2025)
5,1986,Melanoma of the skin,4745,29.6,33.1,37.0,,,,,AIHW CDiA Book 7 (2025)
6,1987,Melanoma of the skin,5581,34.3,37.9,42.4,,,,,AIHW CDiA Book 7 (2025)
7,1988,Melanoma of the skin,6051,36.6,40.4,45.4,,,,,AIHW CDiA Book 7 (2025)
8,1989,Melanoma of the skin,5738,34.1,37.5,42.6,,,,,AIHW CDiA Book 7 (2025)
9,1990,Melanoma of the skin,5873,34.4,37.9,43.2,,,,,AIHW CDiA Book 7 (2025)
10,1991,Melanoma of the skin,5993,34.7,37.8,43.0,,,,,AIHW CDiA Book 7 (2025)
11,1992,Melanoma of the skin,6587,37.7,40.8,46.9,,,,,AIHW CDiA Book 7 (2025)
12,1993,Melanoma of the skin,6796,38.5,41.5,47.8,,,,,AIHW CDiA Book 7 (2025)
13,1994,Melanoma of the skin,6973,39.2,41.8,47.8,,,,,AIHW CDiA Book 7 (2025)
14,1995,Melanoma of the skin,7499,41.6,44.0,50.4,,,,,AIHW CDiA Book 7 (2025)
15,1996,Melanoma of the skin,7862,43.1,45.3,52.1,,,,,AIHW CDiA Book 7 (2025)
16,1997,Melanoma of the skin,8471,46.0,47.7,54.7,,,,,AIHW CDiA Book 7 (2025)
17,1998,Melanoma of the skin,8024,43.1,44.4,51.2,,,,,AIHW CDiA Book 7 (2025)
18,1999,Melanoma of the skin,8426,44.8,45.6,52.7,,,,,AIHW CDiA Book 7 (2025)
19,2000,Melanoma of the skin,8741,45.9,46.4,53.8,,,,,AIHW CDiA Book 7 (2025)
20,2001,Melanoma of the skin,9029,46.8,46.8,54.3,,,,,AIHW CDiA Book 7 (2025)
21,2002,Melanoma of the skin,9885,50.7,50.2,58.5,,,,,AIHW CDiA Book 7 (2025)
22,2003,Melanoma of the skin,9632,48.8,48.0,56.0,,,,,AIHW CDiA Book 7 (2025)
23,2004,Melanoma of the skin,9897,49.7,48.3,56.8,,,,,AIHW CDiA Book 7 (2025)
24,2005,Melanoma of the skin,10869,53.9,52.0,61.3,,,,,AIHW CDiA Book 7 (2025)
25,2006,Melanoma of the skin,10443,51.1,49.0,58.2,,,,,AIHW CDiA Book 7 (2025)
26,2007,Melanoma of the skin,10462,50.2,47.8,56.6,1311.0,6.3,5.9,7.5,AIHW CDiA Book 7 (2025)
27,2008,Melanoma of the skin,11164,52.5,49.8,59.0,1385.0,6.5,6.1,7.8,AIHW CDiA Book 7 (2025)
28,2009,Melanoma of the skin,11328,52.2,49.4,58.8,1413.0,6.5,6.0,7.8,AIHW CDiA Book 7 (2025)
29,2010,Melanoma of the skin,11528,52.3,48.9,58.6,1420.0,6.4,5.9,7.6,AIHW CDiA Book 7 (2025)
30,2011,Melanoma of the skin,11667,52.2,48.2,57.8,1532.0,6.9,6.2,8.0,AIHW CDiA Book 7 (2025)
31,2012,Melanoma of the skin,12253,53.9,49.5,59.4,1533.0,6.7,6.0,7.9,AIHW CDiA Book 7 (2025)
32,2013,Melanoma of the skin,12898,55.8,50.9,61.3,1668.0,7.2,6.4,8.3,AIHW CDiA Book 7 (2025)
33,2014,Melanoma of the skin,13224,56.3,51.1,61.5,1466.0,6.2,5.5,7.1,AIHW CDiA Book 7 (2025)
34,2015,Melanoma of the skin,13741,57.7,51.9,62.6,1515.0,6.4,5.5,7.2,AIHW CDiA Book 7 (2025)
35,2016,Melanoma of the skin,14558,60.2,53.8,64.7,1255.0,5.2,4.4,5.8,AIHW CDiA Book 7 (2025)
36,2017,Melanoma of the skin,15009,61.0,54.1,65.2,1400.0,5.7,4.7,6.3,AIHW CDiA Book 7 (2025)
37,2018,Melanoma of the skin,15151,60.7,53.5,64.4,1385.0,5.5,4.6,6.1,AIHW CDiA Book 7 (2025)
38,2019,Melanoma of the skin,15703,62.0,54.0,65.2,1383.0,5.5,4.5,5.9,AIHW CDiA Book 7 (2025)
39,2020,Melanoma of the skin,14754,57.5,49.2,59.6,1395.0,5.4,4.3,5.8,AIHW CDiA Book 7 (2025)
40,2021,Melanoma of the skin,15034,58.5,49.0,59.7,1416.0,5.5,4.3,5.7,AIHW CDiA Book 7 (2025)
